commit,file mod nc_nc,file mod nc_sur,file mod nc_k,file mod sur_nc,file mod sur_sur,file mod sur_k,file mod k_nc,file mod k_sur,file mod k_k,file unmod nc_nc,file unmod nc_sur,file unmod nc_k,file unmod sur_nc,file unmod sur_sur,file unmod sur_k,file unmod k_nc,file unmod k_sur,file unmod k_k,class mod nc_nc,class mod nc_sur,class mod nc_k,class mod sur_nc,class mod sur_sur,class mod sur_k,class mod k_nc,class mod k_sur,class mod k_k,class unmod nc_nc,class unmod nc_sur,class unmod nc_k,class unmod sur_nc,class unmod sur_sur,class unmod sur_k,class unmod k_nc,class unmod k_sur,class unmod k_k,method mod nc_nc,method mod nc_sur,method mod nc_k,method mod sur_nc,method mod sur_sur,method mod sur_k,method mod k_nc,method mod k_sur,method mod k_k,method unmod nc_nc,method unmod nc_sur,method unmod nc_k,method unmod sur_nc,method unmod sur_sur,method unmod sur_k,method unmod k_nc,method unmod k_sur,method unmod k_k
229c7d01edb902fa093ea36ee5ca2f21409d9a95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0
970139e65c754536b95a2b706f65ad3484ba68f5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
13d3ea10dea99f1e6bbac06e18da450fe1e9add2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
c23a46bb0540976f7c40f50a35a27f5be8d79429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0
55876b98250c1afaf23be12fb5fc4bd3677abbce,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0
878d057f2f5187950152497efcbbecf05980eefa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
cd161852ff308d97bdf1ed9f3e592c02659a36c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
f6a98adcf40dfe56cd1f0f3188c760e3e3141c63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,77,0,0,0,0,0,0,29,0,20,0,0,0,0,0,0,22,0,57,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,42,0,75,0
aef185e1c238cc6c63dbe4678607f4ed73422e74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
b0fcbb950326cbb47452670de9e666ca119ef53d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
bbb38a06988303ab97beb72da9850a0e6426b9f5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0
9732f2a8932b39de93a1afda8d5f9f12d764fba9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0
eb4965a236f69e6abadc32e8290347a579ac0902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0
4ff0dadfc9dae54d7289a245a95a3b46c41f80e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0
223e863a1f86987883674d704444f3ca5ffb6907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0
a6d5c6b54095e93a27e989670f11549395c4c8ce,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
